"Manuscript H-ID",nomNotice,"CartulR Entity ID","iiif manifest"
1539,"Centre historique des Archives nationales, S 4960A",12425,https://bvmm.irht.cnrs.fr/iiif/33617/manifest
1541,"Archives municipales d'Auriol, AA 001",12427,https://bvmm.irht.cnrs.fr/iiif/31495/manifest
1543,"Archives départementales des Bouches-du-Rhône, H(001) 1124",12429,https://bvmm.irht.cnrs.fr/iiif/33018/manifest
1544,"Archives départementales de l'Aude, H 0009",11422,https://bvmm.irht.cnrs.fr/iiif/31757/manifest
1545,"Archives départementales des Bouches-du-Rhône, H(001) 0635",12430,https://bvmm.irht.cnrs.fr/iiif/33009/manifest
1546,"Bibliothèque nationale de France, lat. 10189",12431,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10035834c/manifest.json
1550,"Archives départementales de Maine-et-Loire, H 3582",12435,https://bvmm.irht.cnrs.fr/iiif/31434/manifest
1551,"Archives départementales de l'Allier, H 0524 (H 994)",12436,https://bvmm.irht.cnrs.fr/iiif/33886/manifest
1555,"Archives départementales du Rhône, G(010) 3381",11423,https://bvmm.irht.cnrs.fr/iiif/33128/manifest
1556,"Archives départementales du Cher, H(006) 0005",12440,https://bvmm.irht.cnrs.fr/iiif/31650/manifest
1558,"Bibliothèque nationale de France, Coll. Baluze 071",12442,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90012788/manifest.json
1561,"Bibliothèque nationale de France, lat. 10943",12445,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10038986r/manifest.json
1566,"Bibliothèque nationale de France, lat. 05470",11424,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52501350w/manifest.json
1572,"Archives départementales de l'Aube, H(001) 0003",12455,https://bvmm.irht.cnrs.fr/iiif/33832/manifest
1577,"Bibliothèque nationale de France, Coll. Périgord 034",11425,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034910s/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b100349117/manifest.json
1581,"Archives départementales des Bouches-du-Rhône, H(056) 3123",12463,https://bvmm.irht.cnrs.fr/iiif/33011/manifest
1583,"Archives départementales de la Moselle, G 0458",12465,https://bvmm.irht.cnrs.fr/iiif/23434/manifest
1584,"Archives départementales de l'Oise, H 6860",12466,https://bvmm.irht.cnrs.fr/iiif/31579/manifest
1585,"Bibliothèque nationale de France, Coll. Duchesne 022",12467,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9001124c/manifest.json
1591,"Archives départementales du Nord, H(019) 0001*",12472,https://bvmm.irht.cnrs.fr/iiif/33109/manifest
1592,"Archives départementales du Nord, H(019) 0002*",12473,https://bvmm.irht.cnrs.fr/iiif/33110/manifest
1593,"Archives départementales du Haut-Rhin, H(011) 0001/10",12474,https://bvmm.irht.cnrs.fr/iiif/31903/manifest
1594,"Archives départementales de la Somme, D 0063",12475,https://bvmm.irht.cnrs.fr/iiif/31349/manifest
1595,"Archives départementales de l'Aube, H(003) 0020",12476,https://bvmm.irht.cnrs.fr/iiif/33810/manifest
1604,"Archives départementales de l'Eure, H 0977",12484,https://bvmm.irht.cnrs.fr/iiif/32675/manifest
1605,"Archives départementales de la Côte-d'Or, G 2316 (cart. 92)",12485,https://bvmm.irht.cnrs.fr/iiif/32770/manifest
1608,"Bibliothèque nationale de France, lat. 12771",12488,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10329503f/manifest.json
1611,"Archives départementales d'Eure-et-Loir, G 2959",12490,https://bvmm.irht.cnrs.fr/iiif/31875/manifest
1612,"Bibliothèque nationale de France, lat. 10026",12491,https://gallica.bnf.fr/iiif/ark:/12148/btv1b100384733/manifest.json
1613,"Centre historique des Archives nationales, LL 1171",12492,https://bvmm.irht.cnrs.fr/iiif/33577/manifest
1615,"Bibliothèque municipale de Flers, 0006",12494,https://bvmm.irht.cnrs.fr/iiif/33354/manifest
1616,"Archives départementales du Calvados, H 0117",12495,https://bvmm.irht.cnrs.fr/iiif/31671/manifest
1617,"Archives départementales du Calvados, H 0118",12496,https://bvmm.irht.cnrs.fr/iiif/31672/manifest
1625,"Bibliothèque municipale de Tonnerre, 0029 (29)",12503,https://bvmm.irht.cnrs.fr/iiif/33775/manifest
1626,"Bibliothèque municipale de Tonnerre, non coté",12504,https://bvmm.irht.cnrs.fr/iiif/33780/manifest
1627,"Archives départementales de Maine-et-Loire, H 1277",12505,https://bvmm.irht.cnrs.fr/iiif/31451/manifest
1631,"Bibliothèque nationale de France, lat. 09887",12509,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9077685k/manifest.json
1634,"Archives départementales d'Eure-et-Loir, H 2205",12510,https://bvmm.irht.cnrs.fr/iiif/31856/manifest
1639,"Bibliothèque nationale de France, lat. 13816",12515,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509409p/manifest.json
1640,"Archives départementales de la Seine-Maritime, H(014) 0021",12516,https://bvmm.irht.cnrs.fr/iiif/32870/manifest
1644,"Bibliothèque municipale de Grenoble, 03991 (R. 09278)",11431,https://bvmm.irht.cnrs.fr/iiif/33370/manifest
1645,"Archives départementales de la Charente, H(001) 0003",12520,https://bvmm.irht.cnrs.fr/iiif/31466/manifest
1647,"Archives départementales de l'Indre-et-Loire, H dépôt B 0005",12522,https://bvmm.irht.cnrs.fr/iiif/33806/manifest
1649,"Archives départementales de la Moselle, H 1218*",12524,https://bvmm.irht.cnrs.fr/iiif/32838/manifest
1650,"Centre historique des Archives nationales, S *1012",12525,https://bvmm.irht.cnrs.fr/iiif/33607/manifest
1660,"Bibliothèque nationale de France, Coll. Baluze 74",12534,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90012966/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b90013064/manifest.json
1662,"Bibliothèque nationale de France, lat. 13820",12536,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10520052m/manifest.json
1664,"Bibliothèque nationale de France, Coll. Baluze 041",12538,https://gallica.bnf.fr/iiif/ark:/12148/btv1b9001308z/manifest.json
1667,"Bibliothèque nationale de France, Coll. Dom Housseau 013/2",12540,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10034033j/manifest.json
1668,"Bibliothèque nationale de France, Coll. Baluze 074",12541,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90012966/manifest.json|https://gallica.bnf.fr/iiif/ark:/12148/btv1b90013064/manifest.json
1669,"Bibliothèque nationale de France, fr. 16188",12542,https://gallica.bnf.fr/iiif/ark:/12148/btv1b90616255/manifest.json
1670,"Bibliothèque nationale de France, lat. 13818",12543,https://gallica.bnf.fr/iiif/ark:/12148/btv1b10509623k/manifest.json
1671,"Archives départementales de Maine-et-Loire, H 1773",12544,https://bvmm.irht.cnrs.fr/iiif/1331/manifest
1676,"Archives départementales de Loir-et-Cher, G 0337",12549,https://bvmm.irht.cnrs.fr/iiif/31979/manifest
